STATE CLIMATE OFFICE OF NORTH CAROLINA
Data retrieval from DAQ Clayton Profiler (CLA2)
City/County: Clayton, Johnston County
Latitude/Longitude: 35.59158, -78.45889
Elevation: 250 ft 
 
 
Date/Time (EST)	Number of Hourly Records Compiled	Monthly SUM of Precipitation (in)	Monthly SUM of Precipitation From Impact Sensor (in)
Jan 2010	744	4.5	
Feb 2010	669	3.43	0.02
Mar 2010	744	8.28	5.9
Apr 2010	720	0.97	0.85
May 2010	744	11.65	7.5
Jun 2010	720	3.19	2.83
Jul 2010	744	7.41	3.37
Aug 2010	744	17.89	8.9
Sep 2010	720	8.57	8.21
Oct 2010	744	0.81	0.78
Nov 2010	720	1.11	0.85
Dec 2010	744	2.43	1.62
Jan 2011	744	1.3	0.67
Feb 2011	672	2.96	2.33
Mar 2011	744	3.78	3.05
Apr 2011	720	10.93	6.12
May 2011	744	4.83	2.61
Jun 2011	720	2.71	1.55
Jul 2011	744	10.21	4.25
Aug 2011	744	9.2	-58.15
Sep 2011	720	3.3	2.05
Oct 2011	744	2.94	2.33
Nov 2011	720	3.24	2.88
Dec 2011	744	1.25	1.06
Jan 2012	744	2.23	1.5
Feb 2012	696	3.5	1.97
Mar 2012	744	5.76	5.02
Apr 2012	720	4.06	3.6
May 2012	744	11.92	5.21
Jun 2012	720	1.51	1.26
Jul 2012	744	15.74	5.35
Aug 2012	744	3.91	2.68
Sep 2012	720	6.76	4.01
Oct 2012	744	2.68	1.76
Nov 2012	720	0.66	0.42
Dec 2012	744	4.45	3.67
Jan 2013	744	3.07	2.27
Feb 2013	672	4.12	2.69
Mar 2013	744	1.91	1.31
Apr 2013	720	3.85	3.44
May 2013	744	5.89	3.92
Jun 2013	720	16.31	-50.06
Jul 2013	744	14.45	9.13
Aug 2013	744	3.04	2.92
Sep 2013	720	3.23	4.75
Oct 2013	744	0.3	0.66
Nov 2013	720	0.69	3.19
Dec 2013	744	3.13	4.69
Jan 2014	744	4.33	3.62
Feb 2014	672	4.33	3
Mar 2014	744	5.39	4.53
Apr 2014	720	8.28	5.37
May 2014	744	4.25	5.01
Jun 2014	720	2.48	2.91
Jul 2014	744	4.66	8.04
Aug 2014	744	12.37	9.06
Sep 2014	720	10.71	10.3
Oct 2014	744	3.67	3.69
Nov 2014	720	4.01	2.84
Dec 2014	744	5.86	6.33
Jan 2015	744	5.17	5.66
Feb 2015	672	4.54	5.66
Mar 2015	744	4.33	3.35
Apr 2015	720	7.89	-54.68
May 2015	743	2.07	1.91
Jun 2015	688	10	7.47
Aug 2015	198	2.2	2.26
Sep 2015	720	6.3	4.31
Oct 2015	743	3.91	3.79
Nov 2015	720	4.15	6.12
Dec 2015	744	6.71	7.99
Jan 2016	744	2.12	2.31
Feb 2016	696	5.18	5.85
Mar 2016	743	0.42	1.72
Apr 2016	720	3.4	3.52
May 2016	744	6.98	6.21
Jun 2016	720	4.17	4.77
Jul 2016	737	6.41	6.85
Aug 2016	611	1.54	1.88
Sep 2016	720	7.89	8.25
Oct 2016	701	10.92	10.56
Nov 2016	720	0.74	0.66
Dec 2016	744	2.55	2.22
Jan 2017	744	3.92	3.83
Feb 2017	672	1.21	1.36
Mar 2017	744	2.32	4.21
Apr 2017	720	0.21	9.74
May 2017	744	8.13	8.48
Jun 2017	720	5.49	5.85
Jul 2017	744	5.13	5.59
Aug 2017	744	6.86	6.83
Sep 2017	597	5.26	5.25
Oct 2017	743	4.21	4.06
Nov 2017	719	1.3	0.97
Dec 2017	743	1.32	2.48
Jan 2018	743	2.88	2.98
Feb 2018	671	1.89	1.56
Mar 2018	682	4.78	4.58
Apr 2018	720	3.3	3.04
May 2018	739	5.23	5.01
Jun 2018	720	2.45	2.58
Jul 2018	743	7.35	7.47
Aug 2018	744	6.46	6.14
Sep 2018	720	11.52	11.3
Oct 2018	744	3.14	3.37
Nov 2018	720	6.43	6.17
Dec 2018	744	5.76	5.58
Jan 2019	743	3.94	3.85
Feb 2019	672	3.53	3.76
Mar 2019	744	3.51	3.37
Apr 2019	692	5.45	5.73
May 2019	742	1.75	1.77
Jun 2019	720	6.48	6.37
Jul 2019	744	7.44	7.43
Aug 2019	744	5.89	4.93
Sep 2019	720	3.9	4.16
Oct 2019	743	4.89	5.03
Nov 2019	706	2.43	6.14
Dec 2019	744	4.33	8.28
