STATE CLIMATE OFFICE OF NORTH CAROLINA
Data retrieval from North Durham Water Reclamation Facility (DURH)
City/County: Durham, Durham County
Latitude/Longitude: 36.02896, -78.85851
Elevation: 332 ft 
 
 
Date/Time (EST)	Number of Hourly Records Compiled	Monthly SUM of Precipitation (in)	Monthly SUM of Precipitation From Impact Sensor (in)
Jan 2010	661	3.86	0
Feb 2010	672	3.32	0
Mar 2010	744	2.54	0
Apr 2010	720	0.93	0
May 2010	744	9.02	0
Jun 2010	720	2.22	0
Jul 2010	744	4.16	0
Aug 2010	744	3.26	0
Sep 2010	720	5.8	0
Oct 2010	744	2.36	0
Nov 2010	720	1.14	0
Dec 2010	744	2.4	0
Jan 2011	744	1.46	0
Feb 2011	672	2.23	0
Mar 2011	744	3.82	0
Apr 2011	720	2.38	0
May 2011	744	6	0
Jun 2011	720	1.79	0
Jul 2011	744	3.96	0
Aug 2011	744	3.68	0
Sep 2011	720	5.27	0
Oct 2011	744	3.33	0
Nov 2011	720	3.72	0
Dec 2011	744	2.51	0
Jan 2012	744	1.46	0
Feb 2012	696	2.28	0
Mar 2012	744	4.39	0
Apr 2012	720	1.85	0
May 2012	744	4.83	0
Jun 2012	720	2.05	0
Jul 2012	744	3.98	0
Aug 2012	744	4.87	0
Sep 2012	720	7.57	0
Oct 2012	744	1.89	0
Nov 2012	720	0.4	0
Dec 2012	744	3.26	0
Jan 2013	744	3.24	0
Feb 2013	672	3.52	0
Mar 2013	744	2.42	0
Apr 2013	718	3.01	0
May 2013	744	5.19	0
Jun 2013	720	10.73	0
Jul 2013	744	4.01	0
Aug 2013	744	3.97	0
Sep 2013	719	2.51	0.85
Oct 2013	744	2.45	1.77
Nov 2013	720	2.7	1.68
Dec 2013	744	5.43	3.52
Jan 2014	744	2.58	1.22
Feb 2014	672	2.65	1.73
Mar 2014	744	5.34	4.46
Apr 2014	720	4.75	4.08
May 2014	744	4.93	4.49
Jun 2014	720	4.44	3.43
Jul 2014	744	6.62	5.97
Aug 2014	744	4.31	3.78
Sep 2014	720	2.21	2.4
Oct 2014	744	1.39	1.63
Nov 2014	720	3.43	2.62
Dec 2014	744	4.21	3.34
Jan 2015	744	3.11	2.22
Feb 2015	672	3.07	2.87
Mar 2015	744	2.8	1.5
Apr 2015	720	3.8	2.86
May 2015	744	0.97	0.76
Jun 2015	720	3.27	-13.57
Jul 2015	744	5.65	4.08
Aug 2015	744	3.54	3.53
Sep 2015	720	3.1	2.26
Oct 2015	743	3.52	3.4
Nov 2015	720	6.32	3.9
Dec 2015	744	10.03	7.23
Jan 2016	743	1.79	4.9
Feb 2016	695	4.29	3.41
Mar 2016	744	4.28	3.59
Apr 2016	719	3.6	2.87
May 2016	743	6.47	5.48
Jun 2016	719	7.09	5.59
Jul 2016	743	11.68	10.13
Aug 2016	743	2.15	1.92
Sep 2016	720	6.67	5.72
Oct 2016	741	5.76	5.11
Nov 2016	719	1.04	0.7
Dec 2016	743	1.58	0.83
Jan 2017	744	3.36	3.92
Feb 2017	670	0.89	0.89
Mar 2017	742	2.66	2.43
Apr 2017	717	9.84	9.1
May 2017	740	5.84	4.63
Jun 2017	717	5.91	4.9
Jul 2017	742	3.49	3.52
Aug 2017	744	3.17	2.39
Sep 2017	719	1.24	0.96
Oct 2017	743	3.03	2.42
Nov 2017	719	1.59	0.74
Dec 2017	743	2	1.78
Jan 2018	744	3.71	1.67
Feb 2018	671	2.09	1.11
Mar 2018	743	4.62	3.46
Apr 2018	720	5.94	5.13
May 2018	739	5.92	4.83
Jun 2018	720	3.59	2.91
Jul 2018	743	5.08	4.72
Aug 2018	744	5.38	6
Sep 2018	720	0.1	7.82
Oct 2018	744	0.15	4.35
Nov 2018	720	1.98	5.86
Dec 2018	744	4.74	2.7
Jan 2019	743	4.01	2.91
Feb 2019	672	5.47	3.43
Mar 2019	744	3.65	3.04
Apr 2019	671	4.62	3.79
May 2019	743	1.64	1.72
Jun 2019	720	5.53	4.86
Jul 2019	738	5.99	5.67
Aug 2019	723	6	5.43
Sep 2019	719	0.55	0.49
Oct 2019	744	4.21	2.97
Nov 2019	720	3.61	2.79
Dec 2019	744	2.87	1.79
